"Source:","D:\TMIT FC\TMIT_FC_FINAL\TMIT_FC_FINAL.kicad_sch"
"Date:","07-08-2023 14:31:54"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","109"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"","","22r1","22","Device:R","Resistor_SMD:R_0603_1608Metric","C22948","","","",""
"","","BZ1","Buzzer","Device:Buzzer","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","",""
"","","C1","22u","Device:C","Capacitor_SMD:C_1206_3216Metric","C782264","","","",""
"","","C2","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","C30926","","","",""
"","","C3","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C4","22u","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C6","2u2","Device:C","Capacitor_SMD:C_1206_3216Metric","C87994","","","",""
"","","C7","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C8","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C9","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C10","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C11","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C77082","","","",""
"","","C12","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C13","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C15","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C17","10pF","Device:C","Capacitor_SMD:C_1206_3216Metric","C237160","","","",""
"","","C18","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C19","10pF","Device:C","Capacitor_SMD:C_1206_3216Metric","C237160","","","",""
"","","C21","1u","Device:C","Capacitor_SMD:C_1206_3216Metric","C13832","","","",""
"","","C22","4.7u","Device:C","Capacitor_SMD:C_1206_3216Metric","C19666","","","",""
"","","C23","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C25","10n","Device:C","Capacitor_SMD:C_1206_3216Metric","C107110","","","",""
"","","C26","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C28","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C29","2n2","Device:C","Capacitor_SMD:C_1206_3216Metric","C36576","","","",""
"","","C30","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C31","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","C32","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"","","D1","LED","Device:LED","LED_SMD:LED_0805_2012Metric","C2297","","","",""
"","","D2","1N53xxB","Diode:1N53xxB","Diode_THT:D_DO-201_P15.24mm_Horizontal","https://diotec.com/tl_files/diotec/files/pdf/datasheets/1n5345b.pdf","","","",""
"","","DS1","LED","Device:LED","LED_SMD:LED_0805_2012Metric","C2296","","","",""
"","","DS2","LED","Device:LED","LED_SMD:LED_0805_2012Metric","C2297","","","",""
"","","DS3","LED","Device:LED","LED_SMD:LED_0805_2012Metric","C2297","","","",""
"","","FB1","FerriteBead","Device:FerriteBead","Inductor_SMD:L_0805_2012Metric","C15957","","","",""
"","","H1","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","",""
"","","H2","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","",""
"","","H3","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","",""
"","","H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","",""
"","","J1","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105133-0001","C586226","","","",""
"","","J2","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","",""
"","","J3","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","",""
"","","J4","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","",""
"","","J5","Conn_02x10_Odd_Even","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","~","","","",""
"","","J6","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","",""
"","","J7","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","~","","","",""
"","","J8","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","~","","","",""
"","","J9","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","~","","","",""
"","","J10","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","~","","","",""
"","","J11","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","",""
"","","J12","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","",""
"","","LED1","LED","Device:LED","LED_SMD:LED_0805_2012Metric","C2296","","","",""
"","","Q1","AOD4184A","AOD4184A:AOD4184A","DPAK228P994X240-4N:DPAK228P994X240-4N","","Alpha and Omega","2.4mm","0","IPC-7351B"
"","","Q2","PN2222A","Transistor_BJT:PN2222A","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF","","","",""
"","","Q3","PN2222A","Transistor_BJT:PN2222A","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF","","","",""
"","","Q4","PN2222A","Transistor_BJT:PN2222A","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF","","","",""
"","","R3","1k","Device:R","Resistor_SMD:R_1206_3216Metric","C25623","","","",""
"","","R4","1.65k","Device:R","Resistor_SMD:R_1206_3216Metric","C17393","","","",""
"","","R5","56","Device:R","Resistor_SMD:R_1206_3216Metric","C102029","","","",""
"","","R6","2K49","Device:R","Resistor_SMD:R_1206_3216Metric","C108190","","","",""
"","","R7","2k49","Device:R","Resistor_SMD:R_1206_3216Metric","C108190","","","",""
"","","R8","22","Device:R","Resistor_SMD:R_1206_3216Metric","C22948","","","",""
"","","R9","22","Device:R","Resistor_SMD:R_1206_3216Metric","C22948","","","",""
"","","R10","2k2","Device:R","Resistor_SMD:R_1206_3216Metric","C108190","","","",""
"","","R11","2k2","Device:R","Resistor_SMD:R_1206_3216Metric","C108190","","","",""
"","","R12","2k2","Device:R","Resistor_SMD:R_1206_3216Metric","C108190","","","",""
"","","R13","10k","Device:R","Resistor_SMD:R_1206_3216Metric","C416174","","","",""
"","","R14","22","Device:R","Resistor_SMD:R_1206_3216Metric","C22948","","","",""
"","","R15","22","Device:R","Resistor_SMD:R_1206_3216Metric","C22948","","","",""
"","","R17","22","Device:R","Resistor_SMD:R_1206_3216Metric","C22948","","","",""
"","","R18","22","Device:R","Resistor_SMD:R_1206_3216Metric","C22948","","","",""
"","","R19","22","Device:R","Resistor_SMD:R_1206_3216Metric","C22948","","","",""
"","","R20","2k49","Device:R","Resistor_SMD:R_1206_3216Metric","C108190","","","",""
"","","R21","2k49","Device:R","Resistor_SMD:R_1206_3216Metric","C108190","","","",""
"","","R22","383","Device:R","Resistor_SMD:R_1206_3216Metric","C12976","","","",""
"","","R23","56","Device:R","Resistor_SMD:R_1206_3216Metric","C102029","","","",""
"","","R24","200k","Device:R","Resistor_SMD:R_1206_3216Metric","C21267","","","",""
"","","R25","2k49","Device:R","Resistor_SMD:R_1206_3216Metric","C108190","","","",""
"","","R26","2k49","Device:R","Resistor_SMD:R_1206_3216Metric","C108190","","","",""
"","","R27","4k7","Device:R","Resistor_SMD:R_1206_3216Metric","C17673","","","",""
"","","R30","4k7","Device:R","Resistor_SMD:R_1206_3216Metric","C17673","","","",""
"","","R31","100","Device:R","Resistor_SMD:R_1206_3216Metric","C106949","","","",""
"","","R32","4k7","Device:R","Resistor_SMD:R_1206_3216Metric","C17673","","","",""
"","","R35","1k","Device:R","Resistor_SMD:R_1206_3216Metric","C25623","","","",""
"","","R36","100","Device:R","Resistor_SMD:R_1206_3216Metric","C106949","","","",""
"","","R37","56","Device:R","Resistor_SMD:R_1206_3216Metric","C102029","","","",""
"","","R39","100","Device:R","Resistor_SMD:R_1206_3216Metric","C106949","","","",""
"","","R40","0","Device:R","Resistor_SMD:R_1206_3216Metric","C25623","","","",""
"","","R41","0","Device:R","Resistor_SMD:R_1206_3216Metric","C25623","","","",""
"","","R42","0","Device:R","Resistor_SMD:R_1206_3216Metric","C25623","","","",""
"","","R43","0","Device:R","Resistor_SMD:R_1206_3216Metric","C25623","","","",""
"","","R44","0","Device:R","Resistor_SMD:R_1206_3216Metric","C25623","","","",""
"","","R45","0","Device:R","Resistor_SMD:R_1206_3216Metric","C25623","","","",""
"","","TP1","TestPoint_Probe","Connector:TestPoint_Probe","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","",""
"","","TP2","TestPoint_Probe","Connector:TestPoint_Probe","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","",""
"","","TP3","TestPoint_Probe","Connector:TestPoint_Probe","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","",""
"","","TP4","TestPoint_Probe","Connector:TestPoint_Probe","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","",""
"","","TP5","TestPoint_Probe","Connector:TestPoint_Probe","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","",""
"","","TP8","TestPoint_Probe","Connector:TestPoint_Probe","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","",""
"","","TP10","TestPoint_Probe","Connector:TestPoint_Probe","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","",""
"","","TP11","TestPoint_Probe","Connector:TestPoint_Probe","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","",""
"","","U1","AZ1117-3.3","Regulator_Linear:AZ1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.diodes.com/assets/Datasheets/AZ1117.pdf","","","",""
"","","U2","LPS22HBTR","LPS22HBTR:LPS22HBTR","LPS22HBTR:LPS22HBTR","","STMicroelectronics","0.8mm","6","IPC-7351B"
"","","U3","USBLC6-2SC6","Power_Protection:USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","","","",""
"","","U4","STM32F411CEUx","MCU_ST_STM32F4:STM32F411CEUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00115249.pdf","","","",""
"","","U6","Micro_SD_Card","Connector:Micro_SD_Card","Micro_SD:Micro_SD","C428492","","","",""
"","","U7","MPU-6050","Sensor_Motion:MPU-6050","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://store.invensense.com/datasheets/invensense/MPU-6050_DataSheet_V3%204.pdf","","","",""
"","","U9","PC817","Isolator:PC817","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","","","",""
"","","U11","Rfm69hcW","sym6010:Rfm69hcW","Rfm69hcW:Rfm69hcW","","","","",""
"","","X1","25MHz","Device:Crystal_GND24","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","~","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"1","1","22r1","22","Device:R","Resistor_SMD:R_0603_1608Metric","C22948","","","",""
"2","1","BZ1","Buzzer","Device:Buzzer","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","",""
"3","2","C1, C4","22u","Device:C","Capacitor_SMD:C_1206_3216Metric","C782264","","","",""
"4","2","C2, C3","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","C30926","","","",""
"5","1","C6","2u2","Device:C","Capacitor_SMD:C_1206_3216Metric","C87994","","","",""
"6","15","C7, C8, C9, C10, C11, C12, C13, C15, C18, C23, C26, C28, C30, C31, C32","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","C14663","","","",""
"7","2","C17, C19","10pF","Device:C","Capacitor_SMD:C_1206_3216Metric","C237160","","","",""
"8","1","C21","1u","Device:C","Capacitor_SMD:C_1206_3216Metric","C13832","","","",""
"9","1","C22","4.7u","Device:C","Capacitor_SMD:C_1206_3216Metric","C19666","","","",""
"10","1","C25","10n","Device:C","Capacitor_SMD:C_1206_3216Metric","C107110","","","",""
"11","1","C29","2n2","Device:C","Capacitor_SMD:C_1206_3216Metric","C36576","","","",""
"12","5","D1, DS1, DS2, DS3, LED1","LED","Device:LED","LED_SMD:LED_0805_2012Metric","C2297","","","",""
"13","1","D2","1N53xxB","Diode:1N53xxB","Diode_THT:D_DO-201_P15.24mm_Horizontal","https://diotec.com/tl_files/diotec/files/pdf/datasheets/1n5345b.pdf","","","",""
"14","1","FB1","FerriteBead","Device:FerriteBead","Inductor_SMD:L_0805_2012Metric","C15957","","","",""
"15","4","H1, H2, H3, H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","",""
"16","1","J1","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105133-0001","C586226","","","",""
"17","4","J2, J4, J6, J12","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","",""
"18","1","J3","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","",""
"19","1","J5","Conn_02x10_Odd_Even","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","~","","","",""
"20","4","J7, J8, J9, J10","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","~","","","",""
"21","1","J11","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","",""
"22","1","Q1","AOD4184A","AOD4184A:AOD4184A","DPAK228P994X240-4N:DPAK228P994X240-4N","","Alpha and Omega","2.4mm","0","IPC-7351B"
"23","3","Q2, Q3, Q4","PN2222A","Transistor_BJT:PN2222A","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF","","","",""
"24","2","R3, R35","1k","Device:R","Resistor_SMD:R_1206_3216Metric","C25623","","","",""
"25","1","R4","1.65k","Device:R","Resistor_SMD:R_1206_3216Metric","C17393","","","",""
"26","3","R5, R23, R37","56","Device:R","Resistor_SMD:R_1206_3216Metric","C102029","","","",""
"27","1","R6","2K49","Device:R","Resistor_SMD:R_1206_3216Metric","C108190","","","",""
"28","5","R7, R20, R21, R25, R26","2k49","Device:R","Resistor_SMD:R_1206_3216Metric","C108190","","","",""
"29","7","R8, R9, R14, R15, R17, R18, R19","22","Device:R","Resistor_SMD:R_1206_3216Metric","C22948","","","",""
"30","3","R10, R11, R12","2k2","Device:R","Resistor_SMD:R_1206_3216Metric","C108190","","","",""
"31","1","R13","10k","Device:R","Resistor_SMD:R_1206_3216Metric","C416174","","","",""
"32","1","R22","383","Device:R","Resistor_SMD:R_1206_3216Metric","C12976","","","",""
"33","1","R24","200k","Device:R","Resistor_SMD:R_1206_3216Metric","C21267","","","",""
"34","3","R27, R30, R32","4k7","Device:R","Resistor_SMD:R_1206_3216Metric","C17673","","","",""
"35","3","R31, R36, R39","100","Device:R","Resistor_SMD:R_1206_3216Metric","C106949","","","",""
"36","6","R40, R41, R42, R43, R44, R45","0","Device:R","Resistor_SMD:R_1206_3216Metric","C25623","","","",""
"37","8","TP1, TP2, TP3, TP4, TP5, TP8, TP10, TP11","TestPoint_Probe","Connector:TestPoint_Probe","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","","",""
"38","1","U1","AZ1117-3.3","Regulator_Linear:AZ1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.diodes.com/assets/Datasheets/AZ1117.pdf","","","",""
"39","1","U2","LPS22HBTR","LPS22HBTR:LPS22HBTR","LPS22HBTR:LPS22HBTR","","STMicroelectronics","0.8mm","6","IPC-7351B"
"40","1","U3","USBLC6-2SC6","Power_Protection:USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","","","",""
"41","1","U4","STM32F411CEUx","MCU_ST_STM32F4:STM32F411CEUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00115249.pdf","","","",""
"42","1","U6","Micro_SD_Card","Connector:Micro_SD_Card","Micro_SD:Micro_SD","C428492","","","",""
"43","1","U7","MPU-6050","Sensor_Motion:MPU-6050","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://store.invensense.com/datasheets/invensense/MPU-6050_DataSheet_V3%204.pdf","","","",""
"44","1","U9","PC817","Isolator:PC817","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","","","",""
"45","1","U11","Rfm69hcW","sym6010:Rfm69hcW","Rfm69hcW:Rfm69hcW","","","","",""
"46","1","X1","25MHz","Device:Crystal_GND24","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","~","","","",""
